# Sensor: Sensor Generator      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:01      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	      
Time [s]      	Power (electrical)      [    k W      ]      	 Torque      [     Nm      ]      	Torque on main shaft      [   k Nm      ]      	Torque diff. on main shaft      [   k Nm      ]      	    RPM      [    rpm      ]      	Filtered RPM      [    rpm      ]      	Electricity production      [   k Wh      ]      	 Region      [             ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	  15507 [306.15s]      	1.96063e+07 [125.9s]      	19606.3 [125.9s]      	-704.342 [305.2s]      	7.54711 [240s]      	7.54711 [240s]      	419.012 [100.05s]      	      0 [100.05s]      
    Max      	15561.8 [153.95s]      	1.9624e+07 [100.05s]      	  19624 [100.05s]      	618.461 [181.95s]      	7.57272 [116.95s]      	7.57272 [116.95s]      	3007.68 [700.05s]      	      0 [100.05s]      
   Mean      	  15532      	1.9619e+07      	  19619      	188.879      	7.56002      	7.56002      	1713.35      	      0      
Standard deviation      	12.3745      	   6162      	  6.162      	286.295      	0.00595412      	0.00595412      	747.375      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	13756.6      	1.87665e+07      	18766.5      	-18766.5      	      7      	      7      	0.191064      	      0      
   0.05      	13756.6      	1.87665e+07      	18766.5      	-18766.6      	      7      	      7      	0.191064      	      0      
    0.1      	13590.6      	1.85415e+07      	18541.5      	-18542.3      	6.99944      	6.99944      	0.379822      	      0      
   0.15      	13595.1      	1.85415e+07      	18541.5      	-18544.2      	7.00176      	7.00176      	0.568642      	      0      
    0.2      	13567.4      	1.85415e+07      	18541.5      	-18547.9      	6.98754      	6.98754      	0.757079      	      0      
