# Sensor: Sensor Node loads [Node TW_1 | Tubular tower]      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:15      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      
Time [s]      	Gravity load - material (1129) (mag.)      [    k N      ]      	Gravity load - material (1129) (sign)      [    k N      ]      	Gravity load - material (1129)     .x      [    k N      ]      	Gravity load - material (1129)     .y      [    k N      ]      	Gravity load - material (1129)     .z      [    k N      ]      
----------	----------	----------	----------	----------	----------      
    Min      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
    Max      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
   Mean      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
Standard deviation      	4.82525e-07      	4.82525e-07      	      0      	      0      	4.82525e-07      
----------	----------	----------	----------	----------	----------      
      0      	      0      	      0      	      0      	      0      	      0      
   0.05      	1.4259e-05      	-1.4259e-05      	      0      	      0      	-1.4259e-05      
    0.1      	0.000116733      	-0.000116733      	      0      	      0      	-0.000116733      
   0.15      	0.000392939      	-0.000392939      	      0      	      0      	-0.000392939      
    0.2      	0.000922994      	-0.000922994      	      0      	      0      	-0.000922994      
   0.25      	0.00178173      	-0.00178173      	      0      	      0      	-0.00178173      
    0.3      	0.00303881      	-0.00303881      	      0      	      0      	-0.00303881      
   0.35      	0.00475883      	-0.00475883      	      0      	      0      	-0.00475883      
    0.4      	0.00700143      	-0.00700143      	      0      	      0      	-0.00700143      
   0.45      	0.00982144      	-0.00982144      	      0      	      0      	-0.00982144      
    0.5      	0.0132689      	-0.0132689      	      0      	      0      	-0.0132689      
   0.55      	0.0173894      	-0.0173894      	      0      	      0      	-0.0173894      
    0.6      	0.0222238      	-0.0222238      	      0      	      0      	-0.0222238      
   0.65      	0.0278088      	-0.0278088      	      0      	      0      	-0.0278088      
    0.7      	0.0341766      	-0.0341766      	      0      	      0      	-0.0341766      
   0.75      	0.0413555      	-0.0413555      	      0      	      0      	-0.0413555      
    0.8      	0.0493694      	-0.0493694      	      0      	      0      	-0.0493694      
   0.85      	0.0582387      	-0.0582387      	      0      	      0      	-0.0582387      
    0.9      	0.0679796      	-0.0679796      	      0      	      0      	-0.0679796      
   0.95      	0.0786047      	-0.0786047      	      0      	      0      	-0.0786047      
      1      	0.0901232      	-0.0901232      	      0      	      0      	-0.0901232      
   1.05      	0.102541      	-0.102541      	      0      	      0      	-0.102541      
    1.1      	0.115859      	-0.115859      	      0      	      0      	-0.115859      
   1.15      	0.130077      	-0.130077      	      0      	      0      	-0.130077      
    1.2      	0.145191      	-0.145191      	      0      	      0      	-0.145191      
   1.25      	0.161194      	-0.161194      	      0      	      0      	-0.161194      
    1.3      	0.178074      	-0.178074      	      0      	      0      	-0.178074      
