# Sensor: Sensor Sea      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:05      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      
Time [s]      	Surface elevation (origin)      [      m      ]      	Dynamic pressure (origin)      [   k Pa      ]      
----------	----------	----------      
    Min      	-1.5305 [368.15s]      	-15.4128 [368.15s]      
    Max      	 1.5305 [436.55s]      	15.4128 [436.55s]      
   Mean      	-0.00622342      	-0.0626727      
Standard deviation      	1.08182      	10.8944      
----------	----------	----------      
      0      	      0      	      0      
   0.05      	0.0597364      	0.601572      
    0.1      	0.119382      	1.20223      
   0.15      	0.178845      	1.80105      
    0.2      	0.238036      	2.39713      
   0.25      	0.296864      	2.98955      
    0.3      	0.35524      	3.57742      
   0.35      	0.413074      	4.15984      
    0.4      	0.470279      	4.73592      
   0.45      	0.526767      	5.30478      
    0.5      	0.582452      	5.86556      
   0.55      	0.63725      	6.41739      
    0.6      	0.691076      	6.95945      
   0.65      	0.74385      	 7.4909      
    0.7      	0.79549      	8.01094      
   0.75      	0.845917      	8.51876      
    0.8      	0.895055      	9.01361      
   0.85      	0.94283      	9.49472      
    0.9      	0.989167      	9.96136      
   0.95      	  1.034      	10.4128      
      1      	1.07725      	10.8484      
   1.05      	1.11886      	11.2675      
    1.1      	1.15877      	11.6693      
   1.15      	1.19691      	12.0534      
    1.2      	1.23323      	12.4192      
   1.25      	1.26767      	 12.766      
    1.3      	1.30017      	13.0933      
   1.35      	 1.3307      	13.4007      
    1.4      	 1.3592      	13.6877      
   1.45      	1.38562      	13.9538      
    1.5      	1.40993      	14.1987      
   1.55      	 1.4321      	14.4219      
    1.6      	1.45208      	14.6231      
   1.65      	1.46985      	14.8021      
    1.7      	1.48538      	14.9585      
   1.75      	1.49865      	 15.092      
    1.8      	1.50963      	15.2026      
   1.85      	1.51831      	15.2901      
