# Sensor: Sensor Blade [Time] [Blade 1]      
# Description: Time series      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:11      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	      
Time [s]      	Root force (magnitude)      [    k N      ]      	Root moment (magnitude)      [   k Nm      ]      	Root moment (out-of-plane)      [   k Nm      ]      	Root moment (in-plane)      [   k Nm      ]      	Root moment about shaft      [   k Nm      ]      	Pitch angle      [      °      ]      	Tip deflection (out-of-plane)      [      m      ]      	Tip deflection (in-plane)      [      m      ]      	Root torque      [   k Nm      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	 718.76 [377.15s]      	11219.2 [127.65s]      	 9622.9 [101.15s]      	-9287.03 [145.4s]      	-9254.92 [145.4s]      	22.0584 [108.9s]      	-3.60224 [102.1s]      	-1.1185 [116.95s]      	510.469 [413.15s]      
    Max      	1910.77 [174.8s]      	23428.4 [133.15s]      	17064.7 [351.3s]      	21083.5 [109.1s]      	  21090 [109.1s]      	22.0652 [141.95s]      	-2.51214 [106s]      	1.29894 [120.9s]      	639.925 [323.9s]      
   Mean      	1385.18      	18202.9      	13355.8      	5827.85      	5847.36      	22.0618      	-3.08219      	0.119258      	574.797      
Standard deviation      	408.524      	3209.97      	2548.23      	11051.7      	11042.5      	0.00212421      	0.372343      	0.839063      	32.4846      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	5.21675e-10      	9.15795e-10      	8.55531e-10      	3.24012e-10      	3.2454e-10      	   29.9      	-3.43028      	0.115043      	1.91899e-11      
   0.05      	 1870.4      	53.6022      	9.53582      	52.6892      	52.7454      	   29.9      	-3.42033      	0.114197      	2.43693      
    0.1      	677.551      	88.4071      	78.6281      	-40.1553      	-39.9847      	   29.8      	-3.38859      	0.10762      	3.03412      
   0.15      	945.449      	209.333      	208.655      	-12.9874      	-12.7298      	29.7001      	-3.33677      	0.0907423      	5.62256      
    0.2      	1569.76      	452.556      	452.002      	6.04744      	6.41913      	29.6001      	-3.26328      	0.0670002      	8.65354      
   0.25      	324.067      	1056.37      	1055.21      	-15.8097      	-15.3737      	29.5001      	-3.17138      	0.0412356      	9.65198      
    0.3      	1765.05      	1439.74      	1437.29      	54.0592      	54.6316      	29.4001      	-3.07646      	0.0187248      	14.3024      
   0.35      	559.096      	 1866.5      	1864.68      	2.20041      	2.73599      	29.3001      	-2.98783      	-0.00204757      	12.3273      
    0.4      	1203.57      	2531.71      	2528.39      	65.0145      	65.8066      	29.2002      	-2.90615      	-0.0261141      	19.5804      
   0.45      	1252.44      	2957.18      	2953.22      	80.0803      	80.8343      	29.1002      	-2.82122      	-0.0488104      	19.0331      
    0.5      	 585.08      	3758.48      	3754.46      	54.4677      	55.3312      	29.0002      	-2.73219      	-0.0678754      	20.9872      
   0.55      	1624.05      	4299.96      	 4293.3      	 146.29      	147.305      	28.9002      	-2.65137      	-0.0862469      	26.4691      
    0.6      	534.203      	4743.31      	4737.32      	116.172      	117.011      	28.8002      	-2.58609      	-0.100547      	21.7778      
   0.65      	1359.46      	5067.91      	5058.07      	222.941      	224.191      	28.7002      	-2.54122      	-0.104721      	33.5292      
    0.7      	1004.71      	4878.65      	4869.48      	208.023      	209.124      	28.6003      	-2.51501      	-0.100733      	29.7762      
   0.75      	824.165      	 5061.5      	5050.39      	249.948      	  251.3      	28.5003      	-2.50634      	-0.0959003      	36.4416      
