# Sensor: Sensor Rotor      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:34:15      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      7      	      8      	      9      	     10      	     11      	     12      	     13      	     14      	     15      	     16      	     17      	     18      	     19      	     20      	      
Time [s]      	Power (aero)      [    k W      ]      	Torque (aero)      [   k Nm      ]      	Thrust (aero)      [    k N      ]      	    RPM      [    rpm      ]      	    TSR      [             ]      	Demanded collective pitch angle      [      °      ]      	Power coef. (CP)      [      %      ]      	Thrust coef. (CT)      [      %      ]      	Tip speed      [    m/s      ]      	1P (one revolution)      [      s      ]      	nP (blade passing)      [      s      ]      	Azimuth angle      [      °      ]      	Rotation per timestep      [      °      ]      	Wind speed at hub, magnitude      [    m/s      ]      	Wind speed at hub     .x      [    m/s      ]      	Wind speed at hub     .y      [    m/s      ]      	Wind speed at hub     .z      [    m/s      ]      	Wind angle at hub      [      °      ]      	Yaw angle      [      °      ]      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
    Min      	6893.18 [279.2s]      	11703.7 [279.2s]      	1404.38 [183.3s]      	5.61888 [113.15s]      	8.88928 [113.15s]      	      0 [100.05s]      	47.9003 [279.2s]      	78.0715 [183.3s]      	71.1142 [113.15s]      	10.6566 [420.95s]      	3.55221 [420.95s]      	0.0101518 [106.8s]      	1.68567 [113.15s]      	      8 [100.05s]      	      0 [100.05s]      	     -8 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      
    Max      	   7195 [138.8s]      	12217.3 [138.8s]      	1428.68 [138.95s]      	5.63031 [420.95s]      	8.90735 [420.95s]      	      0 [100.05s]      	49.9976 [138.8s]      	79.4224 [138.95s]      	71.2588 [420.95s]      	10.6783 [113.15s]      	3.55943 [113.15s]      	359.909 [138.8s]      	1.68909 [420.95s]      	      8 [100.05s]      	      0 [100.05s]      	     -8 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      
   Mean      	7103.39      	12059.4      	1420.95      	5.62486      	8.89873      	      0      	 49.361      	78.9925      	71.1899      	10.6669      	3.55564      	180.008      	1.68746      	      8      	      0      	     -8      	      0      	      0      	      0      
Standard deviation      	63.2592      	107.301      	5.52332      	0.00223573      	0.003537      	      0      	0.439585      	0.30705      	0.028296      	0.00423977      	0.00141326      	103.708      	0.000670718      	      0      	      0      	      0      	      0      	      0      	      0      
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------      
      0      	      0      	      0      	      0      	      6      	9.49222      	      0      	      0      	      0      	75.9377      	     10      	3.33333      	      0      	    1.8      	      8      	      0      	     -8      	      0      	      0      	      0      
   0.05      	0.0631679      	0.100512      	      0      	6.00135      	9.49435      	      0      	0.00043895      	      0      	75.9548      	9.99776      	3.33259      	      0      	 1.8004      	      8      	      0      	     -8      	      0      	      0      	      0      
    0.1      	0.493784      	0.785088      	0.0140997      	6.00606      	 9.5018      	      0      	0.00343127      	0.000783823      	76.0144      	9.98991      	3.32997      	 1.8002      	1.80182      	      8      	      0      	     -8      	      0      	      0      	      0      
   0.15      	1.60939      	2.56223      	0.113533      	5.99809      	 9.4892      	      0      	0.0111835      	0.00631147      	75.9136      	10.0032      	3.33439      	3.60131      	1.79943      	      8      	      0      	     -8      	      0      	      0      	      0      
